學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,D 日,D 博士,90,82,102,59,85,58,69,62,66,54,72,37,81,35,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,M 碩士,685,760,571,699,369,456,221,267,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,B 學士,897,"1,299",888,"1,348",997,"1,226",858,"1,372",-,-,-,-,-,-,294,453,30 臺北市,1 一般
0001,國立政治大學,N 職,M 碩士,295,278,264,280,163,185,99,78,50,49,-,-,-,-,-,-,30 臺北市,1 一般
0002,國立清華大學,D 日,D 博士,220,77,211,83,196,58,183,59,138,43,119,45,186,69,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,M 碩士,"1,268",714,"1,201",630,452,292,170,202,3,11,6,6,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,B 學士,"1,091",944,"1,164","1,003","1,110","1,044","1,108",971,-,-,-,-,-,-,264,161,18 新竹市,1 一般
0002,國立清華大學,D 日,X 4+X,21,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,N 職,M 碩士,176,233,134,218,47,100,25,58,19,27,13,20,9,51,-,-,18 新竹市,1 一般
0003,國立臺灣大學,D 日,D 博士,413,187,427,167,385,176,365,138,299,135,290,109,363,162,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,M 碩士,"2,483","1,572","2,312","1,417",914,626,479,398,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,B 學士,"2,096","1,642","2,124","1,651","2,086","1,614","1,977","1,589",157,90,136,54,103,30,714,494,30 臺北市,1 一般
0003,國立臺灣大學,N 職,M 碩士,345,191,276,176,176,83,52,19,30,14,51,14,-,-,-,-,30 臺北市,1 一般
0003,國立臺灣大學,P 進,B 學士,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,30 臺北市,1 一般
0004,國立臺灣師範大學,D 日,D 博士,131,123,101,111,121,120,105,101,90,97,85,68,78,62,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,M 碩士,590,756,550,716,302,516,193,333,-,-,-,-,-,-,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,B 學士,866,"1,067",863,"1,094",836,"1,055",757,"1,033",-,-,-,-,-,-,262,252,30 臺北市,3 師範
0004,國立臺灣師範大學,N 職,M 碩士,189,421,179,405,70,225,84,189,31,94,31,74,-,-,-,-,30 臺北市,3 師範
0005,國立成功大學,D 日,D 博士,248,112,195,92,206,77,170,79,161,61,142,69,165,56,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,M 碩士,"1,865","1,035","1,673",971,464,319,132,127,4,5,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,B 學士,"1,691","1,026","1,713","1,039","1,656",968,"1,602",956,48,27,54,21,43,35,403,199,21 臺南市,1 一般
0005,國立成功大學,N 職,M 碩士,290,186,243,171,183,91,84,29,55,11,-,-,-,-,-,-,21 臺南市,1 一般
0006,國立中興大學,D 日,D 博士,100,53,108,42,95,38,100,40,90,33,78,31,132,49,-,-,19 臺中市,1 一般
0006,國立中興大學,D 日,M 碩士,850,555,808,525,246,165,88,78,2,4,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,D 日,B 學士,"1,108",806,"1,124",799,"1,165",814,"1,073",788,40,32,-,-,-,-,223,101,19 臺中市,1 一般
0006,國立中興大學,N 職,M 碩士,350,192,324,187,147,60,100,49,107,28,-,-,-,-,-,-,19 臺中市,1 一般
0006,國立中興大學,P 進,B 學士,79,122,101,114,82,127,78,114,46,62,-,-,-,-,15,10,19 臺中市,1 一般
0007,國立交通大學,D 日,D 博士,273,78,244,43,189,66,182,48,166,34,134,26,171,47,-,-,18 新竹市,1 一般
0007,國立交通大學,D 日,M 碩士,"1,431",670,"1,349",615,812,307,223,135,-,1,-,-,-,-,-,-,18 新竹市,1 一般
0007,國立交通大學,D 日,B 學士,902,411,924,411,932,380,900,400,-,-,-,-,-,-,157,38,18 新竹市,1 一般
0007,國立交通大學,N 職,M 碩士,347,169,316,161,175,58,80,34,111,19,-,-,-,-,-,-,18 新竹市,1 一般
0008,國立中央大學,D 日,D 博士,145,58,148,60,108,46,102,38,84,24,79,15,94,33,-,-,03 桃園市,1 一般
0008,國立中央大學,D 日,M 碩士,989,496,908,462,314,151,78,49,-,1,-,-,-,-,-,-,03 桃園市,1 一般
0008,國立中央大學,D 日,B 學士,972,531,949,532,934,524,904,540,-,-,-,-,-,-,158,73,03 桃園市,1 一般
0008,國立中央大學,N 職,M 碩士,286,209,311,165,123,66,71,33,40,21,-,-,-,-,-,-,03 桃園市,1 一般
0009,國立中山大學,D 日,D 博士,101,49,102,35,81,38,68,34,79,29,54,35,60,33,-,-,50 高雄市,1 一般
0009,國立中山大學,D 日,M 碩士,756,416,684,394,261,186,117,87,-,-,-,-,-,-,-,-,50 高雄市,1 一般
0009,國立中山大學,D 日,B 學士,713,394,689,439,695,427,684,452,-,-,-,-,-,-,171,76,50 高雄市,1 一般
0009,國立中山大學,N 職,M 碩士,220,200,192,166,63,73,47,66,-,-,-,-,-,-,-,-,50 高雄市,1 一般
0012,國立臺灣海洋大學,D 日,D 博士,46,19,41,8,28,15,33,6,18,7,16,4,41,10,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,M 碩士,389,209,354,178,134,58,28,20,10,6,5,2,-,-,-,-,17 基隆市,1 一般
0012,國立臺灣海洋大學,D 日,B 學士,978,442,945,433,970,410,927,423,-,-,-,-,-,-,166,43,17 基隆市,1 一般
0012,國立臺灣海洋大學,N 職,M 碩士,117,81,146,87,54,32,16,11,13,3,2,1,2,1,-,-,17 基隆市,1 一般
